%time,field.header.seq,field.header.stamp,field.header.frame_id,field.h.x,field.h.y,field.h.z,field.n.x,field.n.y,field.n.z,field.t.x,field.t.y,field.t.z,field.rs.x,field.rs.y,field.rs.z,field.re.x,field.re.y,field.re.z,field.rh.x,field.rh.y,field.rh.z,field.ls.x,field.ls.y,field.ls.z,field.le.x,field.le.y,field.le.z,field.lh.x,field.lh.y,field.lh.z,field.rp.x,field.rp.y,field.rp.z,field.rk.x,field.rk.y,field.rk.z,field.rf.x,field.rf.y,field.rf.z,field.lp.x,field.lp.y,field.lp.z,field.lk.x,field.lk.y,field.lk.z,field.lf.x,field.lf.y,field.lf.z
1489188062904968682,1143,0,,1.74021061242,-0.106563721986,0.270186601017,1.69086147798,-0.11877301733,0.0549493250096,1.64028281417,-0.130651857596,-0.170083631296,1.66067472629,0.0413948405387,0.0532792240976,1.57735093636,0.180544459706,-0.222551463493,1.4734997601,-0.102189503305,-0.200738658316,1.72104822968,-0.278940882829,0.0566194259217,1.63485727592,-0.372508582239,-0.246086037511,1.46505178207,-0.333143666418,-0.492708018153,1.56996352722,-0.0377887964957,-0.39620876973,1.56996183053,-0.0377887965019,-0.85812026875,1.56996019909,-0.0377887965079,-1.30226589863,1.60944477347,-0.247272591599,-0.394024405472,1.60944307678,-0.247272591605,-0.855935843458,1.60944144534,-0.247272591611,-1.30008147334
1489188063004932970,1144,0,,1.74049525544,-0.0979935610282,0.271964615108,1.69108521659,-0.112398619231,0.0568921189875,1.64034310908,-0.1264167881,-0.167976209642,1.66139015793,0.0478356772121,0.0536038369481,1.57208455566,0.180624777886,-0.228807028865,1.47348854614,-0.103022740041,-0.197076136913,1.72078027525,-0.272632930932,0.060180401027,1.63231039612,-0.364786820354,-0.239671874103,1.46790235889,-0.328299966982,-0.490347219298,1.57018190761,-0.0356495821315,-0.394994903345,1.57018021092,-0.0356495821377,-0.856906402365,1.57017857948,-0.0356495821437,-1.30105203224,1.60902009555,-0.245220331806,-0.390694142682,1.60901839885,-0.245220331812,-0.852605641702,1.60901676742,-0.245220331818,-1.29675127158
1489188063105718007,1145,0,,1.73904940963,-0.0881788690734,0.26952080328,1.68858737256,-0.102347145251,0.0557026902963,1.63843742763,-0.116361031855,-0.169302038824,1.66279855793,0.0585287823611,0.0514307055539,1.57048105779,0.180444519921,-0.224155594753,1.47626338207,-0.103383584951,-0.182286352183,1.71437618719,-0.263223072864,0.0599746750386,1.62689177824,-0.359713659105,-0.245156015577,1.46235983528,-0.321758880164,-0.49555069015,1.57142282818,-0.0251699480567,-0.397100437688,1.57142113148,-0.0251699480629,-0.859011875673,1.57141950005,-0.0251699480689,-1.30315750555,1.60515213721,-0.235579888861,-0.391513098201,1.60515044051,-0.235579888867,-0.853424597221,1.60514880907,-0.235579888873,-1.2975702271
1489188063205963070,1146,0,,1.73271613648,-0.0817679578886,0.270159956182,1.68486017268,-0.0949172807071,0.0557740693434,1.63611598712,-0.108621462135,-0.169559629174,1.66387591733,0.0666208197047,0.0504889749119,1.57919108914,0.194311342686,-0.224350557777,1.48650265257,-0.0858641076425,-0.161311948266,1.70584442804,-0.25645537349,0.0610591637749,1.62484891806,-0.351608960798,-0.240726183244,1.46106637608,-0.317824619778,-0.492206141942,1.57364911079,-0.0166876496111,-0.398349530338,1.5736474141,-0.0166876496173,-0.860261029359,1.57364578266,-0.0166876496233,-1.30440665924,1.60109449232,-0.227963647051,-0.391437155562,1.60109279563,-0.227963647058,-0.853348654582,1.60109116419,-0.227963647064,-1.29749428446
1489188063305676683,1147,0,,1.72988641611,-0.0767721797085,0.27285472976,1.68294938776,-0.0886315134948,0.0570710734323,1.63530345983,-0.100238614473,-0.168605372039,1.66716581483,0.0735021718161,0.0520643565041,1.58602370723,0.199207119737,-0.22585529784,1.49703432586,-0.0739722842895,-0.133882177381,1.69873296068,-0.250765198806,0.0620777903606,1.62235283308,-0.346995200436,-0.233725701053,1.46361922151,-0.310671503711,-0.488052373243,1.57733584136,-0.00581824653488,-0.397555964779,1.57733414467,-0.00581824654111,-0.859467463799,1.57733251323,-0.0058182465471,-1.30361309368,1.59797922246,-0.217873173875,-0.391007670242,1.59797752577,-0.217873173881,-0.852919138745,1.59797589433,-0.217873173887,-1.29706482966
1489188063405522395,1148,0,,1.72641204106,-0.0727642579002,0.274190588469,1.68011221422,-0.0841351707669,0.0573924949866,1.63349777801,-0.0953260615958,-0.168529132496,1.66838979501,0.0783321323668,0.0517634029114,1.59039063234,0.20108714066,-0.228945447548,1.50079496697,-0.0658154101243,-0.12001014377,1.69183463343,-0.246602473901,0.0630215870618,1.61895194512,-0.343086765662,-0.23228051339,1.46060554312,-0.307862066539,-0.487016961783,1.57921741067,-0.000271302634622,-0.398131899425,1.57921571397,-0.000271302640854,-0.860043398445,1.57921408253,-0.000271302646847,-1.30418902833,1.59454927292,-0.21276260603,-0.390769590016,1.59454757623,-0.212762606036,-0.852681028002,1.59454594479,-0.212762606042,-1.29682665788
1489188063504783799,1149,0,,1.72558804649,-0.0680132996232,0.273506112736,1.67940834454,-0.0803585925418,0.0578309741345,1.63227389129,-0.0920956888941,-0.167956526683,1.67220825856,0.0823188712463,0.0508775398863,1.59656724888,0.20156256618,-0.233697926901,1.49863368437,-0.0621067693814,-0.123845951261,1.68660843052,-0.24303605633,0.0647844083827,1.61487308417,-0.341298145391,-0.231454036615,1.4581406963,-0.307389358308,-0.487378891205,1.5804309007,0.00255029320005,-0.398291236158,1.580429204,0.00255029319382,-0.860202704661,1.58042757256,0.00255029318783,-1.30434833454,1.5898479754,-0.21021585511,-0.389196818841,1.5898462787,-0.210215855116,-0.851108256827,1.58984464727,-0.210215855122,-1.29525388671
1489188063606552798,1150,0,,1.72005667693,-0.0672149038033,0.274989836667,1.67804457909,-0.0807771995409,0.0585240028255,1.63343820791,-0.0945068479475,-0.167651751907,1.67263684476,0.0818815177791,0.049716512311,1.59599648473,0.187951113889,-0.237336856079,1.49325260883,-0.0742849507684,-0.1284087443,1.68345231341,-0.243435909232,0.0673314933401,1.6141589983,-0.34392748151,-0.227150674007,1.45962546748,-0.312932687815,-0.484763235038,1.58529541411,-0.00186568166844,-0.399587182981,1.58529371741,-0.00186568167467,-0.861498620966,1.58529208598,-0.00186568168066,-1.30564425085,1.59236825935,-0.214607294827,-0.388067860814,1.59236656265,-0.214607294833,-0.849979359834,1.59236493122,-0.214607294839,-1.29412498971
1489188063705715234,1151,0,,1.71936442574,-0.0686977630966,0.276107514991,1.67777139892,-0.0834569490795,0.0594369676962,1.63304662244,-0.0979162655846,-0.166678636454,1.67237403871,0.0791838849778,0.0501041475538,1.60186073395,0.185916314872,-0.241708856379,1.48542515358,-0.0761721865515,-0.147357995334,1.68316875913,-0.246097775507,0.0687697878387,1.61255428208,-0.348666897805,-0.226416476218,1.45988024729,-0.318619301869,-0.485260397839,1.58479225806,-0.00601646705548,-0.39889745335,1.58479056137,-0.00601646706171,-0.860808921852,1.58478892993,-0.0060164670677,-1.30495455173,1.59185143386,-0.218734707614,-0.386691027861,1.59184973717,-0.21873470762,-0.848602526881,1.59184810573,-0.218734707626,-1.29274815676
1489188063805600084,1152,0,,1.7160186235,-0.0732676453816,0.277785109068,1.67723186698,-0.088035320202,0.0599860877201,1.63435376766,-0.102188065593,-0.16650986379,1.67290433082,0.0746378664178,0.0506405378179,1.60204189794,0.182763025743,-0.241692881093,1.48048870851,-0.082961419772,-0.166043752958,1.68155940313,-0.250708514451,0.0693316376223,1.61091368162,-0.353729007102,-0.224797009132,1.45836000194,-0.321840865071,-0.48349406535,1.5886456653,-0.00996052562454,-0.399117346654,1.5886439686,-0.00996052563077,-0.86102878464,1.58864233716,-0.00996052563676,-1.30517441452,1.59430567139,-0.222721103018,-0.386894283946,1.5943039747,-0.222721103025,-0.848805782966,1.59430234326,-0.222721103031,-1.29295141285
