%time,field.header.seq,field.header.stamp,field.header.frame_id,field.h.x,field.h.y,field.h.z,field.n.x,field.n.y,field.n.z,field.t.x,field.t.y,field.t.z,field.rs.x,field.rs.y,field.rs.z,field.re.x,field.re.y,field.re.z,field.rh.x,field.rh.y,field.rh.z,field.ls.x,field.ls.y,field.ls.z,field.le.x,field.le.y,field.le.z,field.lh.x,field.lh.y,field.lh.z,field.rp.x,field.rp.y,field.rp.z,field.rk.x,field.rk.y,field.rk.z,field.rf.x,field.rf.y,field.rf.z,field.lp.x,field.lp.y,field.lp.z,field.lk.x,field.lk.y,field.lk.z,field.lf.x,field.lf.y,field.lf.z
1489188137504852722,1301,0,,1.65054136913,-0.0437525088481,0.285108072968,1.58625406,-0.0656673148434,0.0758817160895,1.52814052879,-0.0871676046004,-0.146599424209,1.54669755312,0.0923765309473,0.0709407755711,1.33940535823,-0.0403591090203,0.0159518137937,1.5482881316,-0.254532398759,0.0569872899663,1.62581056688,-0.223711160634,0.0808226566079,1.31100308122,-0.00296527719025,-0.0281826415111,1.5441537312,0.18093252136,0.0269263539138,1.44415905236,-0.00531499827089,-0.372311701179,1.44413379603,-0.00529816839616,-0.834223200113,1.44341461025,0.00157455444892,-1.27831511642,1.49589494279,-0.212020796166,-0.365849427834,1.49589019434,-0.212021528605,-0.827760865808,1.49417481928,-0.212424580561,-1.27190294935
1489188137604908592,1302,0,,1.6427203182,-0.0415415771882,0.285684151501,1.58150564229,-0.0653264814553,0.0749632002062,1.52515566523,-0.0883186852056,-0.147824175207,1.54539211741,0.0934462435594,0.0677115170605,1.3501800842,-0.0621020503997,0.0126582714085,1.55694003067,-0.28006196903,0.0433284370804,1.61761916717,-0.22409920647,0.0822148833519,1.31631315289,-0.00947918895972,-0.0311369227958,1.54349005868,0.179209923707,0.0316745939615,1.44518920051,-0.00748133626858,-0.375353788703,1.44517786023,-0.00747444267544,-0.837265257171,1.44471905899,-0.00296368548388,-1.28138775305,1.49242217585,-0.215140437829,-0.365869312539,1.49241925846,-0.215140727756,-0.827780750519,1.49129323835,-0.215405227742,-1.27192491143
1489188137705328411,1303,0,,1.64002012583,-0.0420944282931,0.285931018109,1.57824233805,-0.0660818645358,0.0745961162457,1.52231741085,-0.0894251790905,-0.14826345006,1.54492177593,0.0932448563337,0.0662688765762,1.35274699174,-0.0738795678265,0.0044223153246,1.55925219024,-0.291510691006,0.0388982909532,1.61156290017,-0.225408585405,0.0829233559152,1.31818790326,-0.0110516460627,-0.0342027560982,1.54481343437,0.176997678812,0.032574457112,1.44460253015,-0.00857666770821,-0.376568599781,1.44459460785,-0.00857225603993,-0.838480037743,1.44422663004,-0.00491810547505,-1.28261052956,1.48818243715,-0.216960323397,-0.365677402434,1.48817988596,-0.216960506512,-0.827588840416,1.48726748871,-0.217174773779,-1.27173349039
1489188137805944505,1304,0,,1.63948997219,-0.0424217121924,0.284986226355,1.57617556866,-0.0672514735679,0.0742614528169,1.51926675824,-0.0912264140511,-0.148275447522,1.54270156329,0.0920376948581,0.0656605473292,1.35315555626,-0.0795228768727,-0.00253294740659,1.56082570175,-0.293937443039,0.0433274271717,1.60964957402,-0.226540641994,0.0828623583046,1.31807389781,-0.0135659897432,-0.0344784743683,1.54607514853,0.174194735449,0.0285213175593,1.44046752989,-0.011034053655,-0.37643693176,1.44046326971,-0.0110322464578,-0.838348430771,1.44022517929,-0.00863435056569,-1.28248759006,1.48424836576,-0.219368663043,-0.36518776396,1.48424630286,-0.219368739345,-0.827099201944,1.48364713776,-0.219509336028,-1.27124446342
1489188137905136929,1305,0,,1.64233568846,-0.0441842063171,0.28680176766,1.5776947461,-0.0685376770941,0.0763519471146,1.51994291537,-0.0916468064649,-0.146063749566,1.54426273541,0.0908005637518,0.0684772835381,1.35313640318,-0.0824844247946,-0.00223788050269,1.5611820395,-0.296254580402,0.0449577549949,1.61112675679,-0.22787591794,0.0842266106911,1.31600054145,-0.0144002563922,-0.0331641509565,1.54119359982,0.173245315662,0.039303420909,1.44032825622,-0.010556553251,-0.373629100438,1.44032497261,-0.0105553964562,-0.835540568935,1.44013290436,-0.00861298383157,-1.27968192565,1.48405391306,-0.21895531842,-0.363329792054,1.48405197223,-0.218955364204,-0.825241291074,1.48356633242,-0.219069257589,-1.26938667503
1489188138004988963,1306,0,,1.64315893168,-0.0447465201877,0.28652234569,1.57711723397,-0.0692144980631,0.0763612723561,1.5177126976,-0.0929944098718,-0.14555043571,1.54735086554,0.0907703016576,0.0671855088891,1.35355157034,-0.0880771051544,-0.00619038141729,1.56435283471,-0.29708287686,0.0492592112435,1.6068836024,-0.229199297784,0.085537035823,1.31526337365,-0.0158514614926,-0.030581521906,1.54127493804,0.169234726362,0.0460152888964,1.43884242285,-0.0121521130606,-0.373462621591,1.02421438609,0.097053978825,-0.526034462838,0.625533651932,0.20205968602,-0.672737771353,1.47777389959,-0.221396534115,-0.361461665959,1.47777208083,-0.221396564639,-0.823373103944,1.47741766649,-0.221479589013,-1.26751861046
1489188138104681550,1307,0,,1.63711644272,-0.0451865982302,0.283768064907,1.5727209881,-0.0695868744409,0.0744545807407,1.51459452699,-0.0934470427855,-0.147785165467,1.5477589329,0.0910502256419,0.0637368379565,1.35166191338,-0.088285409825,-0.00871872530628,1.55998373484,-0.294915259852,0.0625224833652,1.5976830433,-0.230223974524,0.0851723235248,1.31356303313,-0.0136717192031,-0.0346982072497,1.54354120963,0.162940926703,0.049587950555,1.44014416794,-0.0122584391506,-0.377033793365,1.24361663517,0.102498830755,-0.778991384472,0.984648574667,0.352022140988,-1.03964241077,1.47279196382,-0.222355979295,-0.363016029984,1.47279026712,-0.22235599456,-0.824927529004,1.47255719057,-0.222410469293,-1.26907315803
1489188138204919927,1308,0,,1.63686278127,-0.045014068034,0.284122466474,1.57201041528,-0.0698596126467,0.0737646572033,1.51412687455,-0.0938925553675,-0.148521613944,1.54405849584,0.0903804427623,0.0637185104846,1.35125480549,-0.0879699205977,-0.0093267026317,1.56200873903,-0.293305175509,0.0586275860953,1.59996233472,-0.230099668056,0.0838108039221,1.31317276985,-0.0137018414862,-0.0359517458552,1.54262606309,0.161685735353,0.0523069404278,1.43796411619,-0.0131363673092,-0.377377565875,1.31304399412,0.0697061017669,-0.814292054532,1.12395060928,0.32265323739,-1.12658481699,1.47452255146,-0.222714630775,-0.364238204309,1.47452085477,-0.222714630781,-0.826149703329,1.47433172349,-0.222758759894,-1.27029533252
1489188138310137183,1309,0,,1.63772484855,-0.0457032738518,0.28526406487,1.57324064245,-0.0693552288553,0.0749677013905,1.51548344255,-0.0929357480164,-0.147398190583,1.540096472,0.0899927634141,0.0666785012342,1.35015214329,-0.0879720761373,-0.0096189730565,1.56268401165,-0.293109372248,0.0532821322599,1.60638481291,-0.228703221125,0.0832569015468,1.3136263985,-0.0172289241706,-0.0352960544672,1.53854301394,0.166974920184,0.046342332928,1.43605164562,-0.0123105019128,-0.375184809827,1.37329016029,0.0337991079448,-0.830483682078,1.26133584506,0.255443048674,-1.19873034116,1.47940083966,-0.220722028627,-0.364343355285,1.47939914296,-0.220722028634,-0.826254823788,1.47926079289,-0.220754194669,-1.27040045317
1489188138408775061,1310,0,,1.6366559918,-0.0462407686227,0.282253235056,1.5706291845,-0.0700104279619,0.0721995225063,1.51327408238,-0.0932380480019,-0.150309696749,1.53803689359,0.089470714528,0.0639523582868,1.35084001034,-0.0880533495506,-0.00947333807096,1.56318216747,-0.295024592586,0.0477939712504,1.6032214754,-0.229491562822,0.0804466867259,1.31386443192,-0.0166967882865,-0.0357688107737,1.53861184811,0.168473898098,0.0441697176238,1.43460522286,-0.0121728557823,-0.378212178781,1.40935443438,0.00754628593303,-0.839011219334,1.35609317578,0.170394980599,-1.24877817458,1.47723273765,-0.220758489838,-0.367425653229,1.47723104095,-0.220758489845,-0.829337091214,1.47713968791,-0.220779593085,-1.27348272076
