field.h.x,field.h.y,field.h.z,field.n.x,field.n.y,field.n.z,field.t.x,field.t.y,field.t.z,field.rs.x,field.rs.y,field.rs.z,field.re.x,field.re.y,field.re.z,field.rh.x,field.rh.y,field.rh.z,field.ls.x,field.ls.y,field.ls.z,field.le.x,field.le.y,field.le.z,field.lh.x,field.lh.y,field.lh.z
1.7417563821,0.090015103,0.3652403673,1.7050966278,0.0910366205,0.1433613668,1.6635687779,0.0940861888,-0.0910821299,1.7208998439,0.2583437541,0.1427382009,1.6783254558,0.3433622439,-0.183915726,1.5066972681,0.3536281235,-0.4765200608,1.6892934116,-0.0762705054,0.1439845328,1.6490436705,-0.1916689153,-0.1667876887,1.4898648953,-0.2109359947,-0.4694032387
1.7354489909,0.089341389,0.359621555,1.7005831921,0.0882945767,0.138453165,1.6614369415,0.088862716,-0.0964117272,1.7143542985,0.2557684584,0.1365627946,1.6737039842,0.3411898942,-0.1892514482,1.4947586618,0.3567747166,-0.4754669774,1.6868120857,-0.0791792898,0.1403435354,1.6477498517,-0.1936270804,-0.1675507913,1.4833140386,-0.221115279,-0.4669018413
1.7272984754,0.0883659715,0.3578853179,1.6956942721,0.0865406219,0.135607785,1.6589231429,0.086900106,-0.0996450554,1.707166551,0.2541910395,0.1340706335,1.6696874919,0.3361571341,-0.1977822256,1.4842564815,0.3516437271,-0.4759727982,1.6842219931,-0.0811097956,0.1371449366,1.6468180599,-0.1938857051,-0.1757303228,1.4759930837,-0.2171087141,-0.4716143083
1.7325325121,0.0848925715,0.3620070028,1.6975246172,0.0851757147,0.1404624384,1.6587144212,0.0870451095,-0.0944552658,1.7077621589,0.25291353,0.1401057571,1.6670398156,0.335393483,-0.1907108353,1.4945461739,0.3471180996,-0.4751759305,1.6872870754,-0.0825621006,0.1408191196,1.6484464878,-0.1901550777,-0.1692932865,1.4881317541,-0.2156627467,-0.4705898473
1.7347840039,0.0815395982,0.3660106566,1.69941844,0.0829343582,0.1447662491,1.6600706441,0.0855508366,-0.0900558033,1.7090367212,0.2507111727,0.1450238432,1.6657503036,0.3315407866,-0.1840142058,1.5003947183,0.3405022459,-0.4726297483,1.6898001589,-0.0848424563,0.1445086703,1.6504907863,-0.1850628308,-0.1677517444,1.4931350196,-0.2076631861,-0.4708488684
1.7390873493,0.0810373328,0.3656755578,1.7006585558,0.0819904922,0.1447525422,1.6592181124,0.0838657443,-0.0897136142,1.7096251015,0.2498036431,0.1445097419,1.6666326143,0.327986438,-0.1912472413,1.4972165134,0.3316275394,-0.4766680667,1.69169201,-0.0858226511,0.1449953425,1.6512695772,-0.1824028396,-0.1699123765,1.4950055922,-0.2016725786,-0.4738008406
1.7410772082,0.0815285969,0.3636645641,1.7008675382,0.0819149314,0.1441541833,1.6590018047,0.0830970439,-0.0902457255,1.7096001955,0.2497391746,0.1434406502,1.6662127094,0.3265439621,-0.1880615708,1.507333933,0.3328164804,-0.4787735116,1.6921348809,-0.0859093042,0.1448677163,1.6506539749,-0.1813370154,-0.1692943628,1.4988769126,-0.1986522702,-0.4755636417
1.739269456,0.0829812727,0.3615858354,1.6998321239,0.0828124038,0.1412523163,1.6578157546,0.084283891,-0.0931173871,1.7093098988,0.2505949627,0.1406064533,1.6644830653,0.3256825056,-0.1970522261,1.503503846,0.3294826955,-0.4845029897,1.690354349,-0.0849701475,0.1418981794,1.6506426103,-0.1813899329,-0.1726356103,1.4977096629,-0.197855491,-0.4783833395
1.742225152,0.0820311035,0.3626742645,1.7014673805,0.0828924422,0.1420649782,1.6585437831,0.0849661447,-0.0921371041,1.7116698879,0.2506347511,0.1416801751,1.6661650869,0.325941667,-0.1927591719,1.5102076976,0.3328380363,-0.4827305534,1.691264873,-0.0848498744,0.1424497813,1.6516339449,-0.1813617921,-0.1721824584,1.4956082456,-0.201865951,-0.4761101995
1.7414243671,0.0825726503,0.3622384764,1.7014361309,0.0825055554,0.1417982852,1.6585302351,0.0842026864,-0.0924094887,1.7122871966,0.2502056457,0.1410254487,1.667759179,0.3261860577,-0.199084129,1.5046747654,0.3257296176,-0.4825497164,1.6905850652,-0.0851945424,0.1425711217,1.6516013661,-0.1838963686,-0.1709030393,1.494079216,-0.2060134176,-0.4739555003
1.7390636423,0.0810636008,0.3588172205,1.7009578501,0.0811319041,0.1378868184,1.658597485,0.0831403087,-0.0964144328,1.7120941949,0.2488139366,0.1373106057,1.671976214,0.3241572035,-0.202739601,1.5073272488,0.321361982,-0.4821338326,1.6898215053,-0.0865501284,0.1384630312,1.6509924731,-0.1851468897,-0.1738777685,1.4935648246,-0.2121455301,-0.4765779654
1.7357500423,0.0802519736,0.3576210046,1.699773149,0.08106013,0.1354284793,1.6590015251,0.0838429164,-0.0991474742,1.7124669906,0.2486276739,0.1352098658,1.6774830409,0.3265050326,-0.2028507357,1.5270384139,0.3548645264,-0.4863769165,1.6870793073,-0.0865074062,0.1356471233,1.6504026179,-0.1846095383,-0.1764474685,1.4952544215,-0.2208236855,-0.4793453972
1.7350948984,0.0771078062,0.3565061694,1.7019141457,0.0784792968,0.1343630875,1.6621476452,0.0820957432,-0.1003735676,1.7199969043,0.2455345314,0.1338732597,1.6797662225,0.3537492121,-0.2147052668,1.524664476,0.4733754124,-0.4775175633,1.6838313871,-0.0885759301,0.1348529153,1.6502358868,-0.1866433524,-0.1738577767,1.505651663,-0.2292816551,-0.4810696175
1.7413823847,0.0768238708,0.3591562928,1.7069522445,0.0764160524,0.1358054671,1.6654453965,0.0778840014,-0.0986541507,1.731026329,0.2426786607,0.1325843856,1.6793486163,0.42147913,-0.1812172129,1.5242873917,0.6597110434,-0.3601215048,1.6828781601,-0.0898465635,0.1390265333,1.6479458692,-0.192685292,-0.1740763657,1.5139219695,-0.2446080255,-0.4847512885
1.7480441208,0.0756534928,0.356059436,1.7111623297,0.0747377842,0.1347009747,1.668114591,0.0756644296,-0.0994842462,1.7386901472,0.2404523857,0.1302963783,1.6879657931,0.4870070547,-0.0853692831,1.5379755545,0.7836150853,-0.1222438695,1.6836345122,-0.090976825,0.139105571,1.6483533449,-0.1992223999,-0.179245221,1.5090565552,-0.261570171,-0.4842280467
1.7492173406,0.0758270811,0.3567630755,1.7125203507,0.0771941032,0.1341106834,1.6709446555,0.0785322913,-0.1003379706,1.7401331308,0.2429124588,0.1301597153,1.6945276795,0.5474147937,0.0406334546,1.5732588221,0.8285924488,0.1729175304,1.6849075706,-0.0885242599,0.1380616516,1.6500110824,-0.2036305969,-0.1774884522,1.507632572,-0.2788520061,-0.47727571
1.7546639934,0.07729225,0.3575562379,1.7137342073,0.0822763449,0.1363055185,1.670920714,0.0852499883,-0.0978961828,1.7359124214,0.248822981,0.1343656634,1.709046633,0.5558012606,0.1575738004,1.6279884184,0.765068602,0.403605104,1.6915559932,-0.0842702911,0.1382453735,1.6533741377,-0.2051773832,-0.1740774538,1.5153391513,-0.2858073611,-0.4743357663
1.7528369449,0.0786886514,0.3529400336,1.7114708676,0.0893754882,0.1341525116,1.6686311139,0.0966245679,-0.0999494886,1.7303780975,0.256337014,0.1358624184,1.7258567951,0.5268121256,0.2564617697,1.6876688745,0.6265525859,0.5740464131,1.6925636377,-0.0775860528,0.1324426049,1.656862286,-0.20264934,-0.1745107552,1.5232511098,-0.2821287737,-0.4784872541
1.7563666361,0.078900937,0.3607961303,1.7128353793,0.0934219944,0.1408463848,1.6690700778,0.103854138,-0.0929723937,1.7276380046,0.2607406599,0.1455406358,1.7352193219,0.4873614764,0.3107332502,1.7482809894,0.4471424997,0.6420460074,1.698032754,-0.0738966635,0.1361521338,1.6623555416,-0.1953150913,-0.1754858883,1.5312552341,-0.2755103361,-0.4789890231
1.7570648635,0.0784998852,0.3563819126,1.7106609305,0.0936395844,0.1382540924,1.6665978991,0.1042511169,-0.0955052749,1.7234164379,0.2611232128,0.1434524555,1.7275837279,0.4466296368,0.34357477,1.7798082667,0.2712847358,0.6142730034,1.6979054231,-0.0738440287,0.1330557139,1.6637592045,-0.195147682,-0.181765999,1.5339992851,-0.2622369801,-0.4900974926
1.7580168898,0.0803053162,0.3581502197,1.7075011318,0.0929907614,0.1352330774,1.6644778884,0.1053840131,-0.0986232023,1.7171206594,0.260606466,0.1423459723,1.7064629951,0.4398995482,0.3353936036,1.7552099827,0.1805983967,0.5188490825,1.6978816041,-0.0746249355,0.1281201977,1.6664495224,-0.1946973547,-0.1785017572,1.5320484675,-0.2558734466,-0.4869875001
1.7577544571,0.0827877676,0.3656851022,1.7018438677,0.0951953839,0.1272427875,1.6619298619,0.1114675304,-0.1069263927,1.7100525185,0.2627272592,0.1374850364,1.6882017311,0.4299082397,0.3162727295,1.7238962148,0.147725601,0.4731250765,1.693635217,-0.0723365066,0.1170005386,1.6667529688,-0.1933942378,-0.1827641942,1.5220401403,-0.2493735596,-0.487683142
1.7610901841,0.0760390235,0.3680799569,1.6981254814,0.0903714491,0.1217366671,1.661397144,0.1062483817,-0.1129840842,1.7050542248,0.2579657967,0.1319886711,1.6790428192,0.4215187102,0.3143388643,1.7276093658,0.1390897199,0.4689113787,1.6911967381,-0.0772229215,0.1114846555,1.6712818017,-0.194694392,-0.1774268238,1.5319757154,-0.2539894594,-0.4845992857
1.7637808584,0.0733230986,0.3654917513,1.697243045,0.087308694,0.1213397511,1.6603507632,0.104315837,-0.1132814665,1.7039327779,0.254861041,0.1324331332,1.6766375814,0.4163786257,0.3188815367,1.730705946,0.1317598973,0.4677098293,1.690553312,-0.0802436529,0.110246369,1.6722620095,-0.1989453345,-0.186275628,1.5285461332,-0.2555255743,-0.4907219843
1.7651076575,0.0702511278,0.367027574,1.6994395965,0.0869495484,0.1259809402,1.6623939996,0.1024989347,-0.1087154416,1.7054783247,0.2545847253,0.1361339332,1.6758225221,0.4151911532,0.3188396696,1.7304057811,0.1313348779,0.4689195472,1.6934008683,-0.0806856209,0.1158279473,1.6723995855,-0.2006957917,-0.1872544951,1.5203689053,-0.2576789247,-0.487920349
1.7675362479,0.0687255782,0.365904213,1.6994077339,0.0887416854,0.1271524949,1.6608486042,0.0996382036,-0.1075523958,1.7041400533,0.256571903,0.1341666224,1.6773720769,0.4171647307,0.3192540315,1.7287340178,0.1305998559,0.4653823219,1.6946754144,-0.0790885474,0.120138375,1.6708129118,-0.2021905791,-0.1897752412,1.5138357048,-0.2581233456,-0.4876485965
1.7664745105,0.0645472601,0.3699351007,1.6984610683,0.0890209406,0.1246152212,1.6583825421,0.0965707736,-0.1099731021,1.7034498481,0.2569344187,0.129166747,1.6802318254,0.4168905713,0.3209633716,1.7298797729,0.1285518559,0.464176202,1.6934722885,-0.0788925604,0.1200636953,1.667944898,-0.2002247388,-0.1801546558,1.5208960332,-0.2588123456,-0.481345705
1.770083858,0.0664899232,0.3644100936,1.6970777763,0.0835134206,0.1214970317,1.6553774111,0.0949918517,-0.1126488876,1.7026678847,0.2513140393,0.1287272968,1.6802400105,0.4119528882,0.3177581714,1.7334944136,0.1279537552,0.4681199143,1.6914876678,-0.0842872133,0.1142667666,1.6650159214,-0.2008000059,-0.1865712099,1.5071275858,-0.2542636901,-0.480812848
1.7695417392,0.0657361294,0.3624217533,1.6972246322,0.0805725261,0.1200117711,1.6544508959,0.0942531627,-0.1138251842,1.7030841557,0.2482941434,0.1287523197,1.6793748996,0.4099011882,0.3160998189,1.7368296222,0.1282679154,0.4693882126,1.6913651087,-0.0871490836,0.1112712302,1.6627683446,-0.2016309773,-0.1923589214,1.4980230741,-0.2506072599,-0.4824868258
1.7705786177,0.0655001179,0.3657988552,1.6967304975,0.0788744194,0.1199254387,1.65415085,0.0933636963,-0.1138992493,1.7019684415,0.2465799211,0.1293635146,1.6784375231,0.4094002693,0.3159824212,1.7357574772,0.1267944312,0.4675339074,1.6914925535,-0.0888311052,0.1104873629,1.6616664545,-0.2018953246,-0.1821291963,1.5136527384,-0.2552188053,-0.4801031552
1.767077764,0.0666196424,0.3671370639,1.6962781175,0.0765730185,0.1210505014,1.6544196516,0.0938078348,-0.1127173807,1.7018772751,0.2441466169,0.1324022875,1.6767069321,0.4094991398,0.3160217952,1.7348042337,0.1284756106,0.4701893675,1.6906789599,-0.09100058,0.109698723,1.662014947,-0.2019104295,-0.1871105971,1.5063695278,-0.2524785366,-0.4793987522
1.7663687705,0.0653403811,0.3633564573,1.6952933746,0.0772701279,0.1212792343,1.6546173979,0.0959919252,-0.1125838213,1.7012309152,0.2447608724,0.1336547007,1.6741327126,0.4082183076,0.3145422514,1.7338884607,0.1276781829,0.4689607026,1.689355834,-0.0902206165,0.1089037602,1.66127275,-0.2019298109,-0.1897066027,1.5038346182,-0.2536120909,-0.4798562624
1.7660577272,0.0681099646,0.3639158152,1.6936859307,0.0818520693,0.1198641553,1.6546413029,0.0999352389,-0.1143161517,1.6997455398,0.2493628719,0.1317886478,1.6740478529,0.4136159819,0.3142624361,1.7321783503,0.1302599942,0.4640933688,1.6876263215,-0.0856587256,0.1079396552,1.6625629253,-0.2010676693,-0.1849899021,1.5105863393,-0.2549662988,-0.4779132635
1.7662928473,0.0665440169,0.3658053407,1.6929159148,0.0796355901,0.1186579967,1.6536375285,0.0959510815,-0.115622163,1.6982672674,0.2472549869,0.1294337949,1.6728742897,0.4101005052,0.3164284865,1.7338108157,0.127538229,0.4665851841,1.6875645623,-0.0879838296,0.1078822061,1.6610870873,-0.2014611531,-0.1875321025,1.5052834585,-0.2505381109,-0.4801119745
1.7659218661,0.0664003312,0.3630627273,1.6935436013,0.0794213437,0.1186847735,1.6531334974,0.0970169671,-0.1153115838,1.7002916851,0.2469476213,0.130116542,1.6725993893,0.4079425757,0.3147887476,1.7315630199,0.125995191,0.4669200007,1.6867955174,-0.0881049262,0.1072530051,1.6620514498,-0.1993788742,-0.1835429245,1.5128154529,-0.2520955784,-0.4784069851
1.7665204975,0.0659268074,0.3622124748,1.6944959899,0.0812318712,0.1194232115,1.6533721457,0.097579178,-0.1145393144,1.7008564972,0.2488287116,0.1300152673,1.6758835498,0.4126996373,0.3143122645,1.7323944184,0.1287360082,0.4635783534,1.6881354826,-0.0863649844,0.1088311633,1.6621444511,-0.1991375714,-0.1877374897,1.5067275576,-0.2502713515,-0.4778571581
1.7649882791,0.065452345,0.3639449329,1.6953878367,0.0822643376,0.1207574139,1.6545094792,0.0975866895,-0.1133188368,1.7017450453,0.2499067941,0.130620687,1.6765206577,0.4093144773,0.3171936099,1.7336924135,0.1251060691,0.465782145,1.6890306282,-0.0853781266,0.1108941407,1.6631303033,-0.1987319739,-0.1839655969,1.5130484917,-0.251854275,-0.4763787877
